#x y co10 co21 13co10 13co21 c18o21 1.45GHz b3 b6 halpha ssc_density
151.01159 -6.4678115 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01159 -6.4670898 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01117 -6.4829669 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01117 -6.4822452 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04
151.01117 -6.4815235 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.1651e-16 16.13
151.01117 -6.4808019 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.5496e-16 65.98
151.01117 -6.4800802 0.0 73.198 0.0 0.0 0.0 0.0 0.0 0.005084 5.3634e-16 64.13
151.01117 -6.4793585 58.006 188.732 0.0 8.911 0.0 0.0 0.0 0.006284 5.8464e-16 42.21
151.01117 -6.4786368 90.321 279.928 0.0 13.047 0.0 0.0 0.0 0.006278 6.03e-16 56.45
151.01117 -6.4779151 88.337 268.12 0.0 12.336 0.0 0.0 0.002083 0.004402 8.9076e-16 83.33
151.01117 -6.4771934 67.443 196.616 0.0 13.488 0.0 0.0 0.0 0.0 6.1386e-16 26.15
151.01117 -6.4764717 82.604 215.24 0.0 16.164 0.0 0.0 0.003053 0.0 6.2914e-16 87.04
151.01117 -6.47575 49.503 146.9 0.0 7.467 0.0 0.0 0.0 0.004294 1.44093e-15 187.3
151.01117 -6.4750284 15.914 63.295 0.0 0.0 0.0 0.0 0.0 0.0 1.12248e-15 182.18
151.01117 -6.4743067 16.681 68.442 0.0 0.0 0.0 0.0 0.0 0.0 7.4656e-16 71.49
151.01117 -6.473585 20.552 49.692 0.0 0.0 0.0 0.0 0.0 0.0 6.8412e-16 40.25
151.01117 -6.4728633 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.1271e-16 14.28
151.01117 -6.4721416 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05
151.01117 -6.4714199 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01117 -6.4706982 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01117 -6.4699765 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01117 -6.4692549 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01117 -6.4685332 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01117 -6.4678115 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01117 -6.4670898 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01075 -6.4829669 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01075 -6.4822452 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25
151.01075 -6.4815235 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.8544e-16 37.75
151.01075 -6.4808019 17.583 75.682 0.0 0.0 0.0 0.0 0.0 0.0 9.6812e-16 169.36
151.01075 -6.4800802 41.314 154.042 0.0 0.0 0.0 0.0 0.0 0.008009 1.62562e-15 141.74
151.01075 -6.4793585 89.592 268.726 0.0 16.223 0.0 0.0 0.0 0.00962 2.53253e-15 70.87
151.01075 -6.4786368 75.577 218.27 0.0 8.336 0.0 0.0 0.0 0.0 6.7485e-16 29.23
151.01075 -6.4779151 56.521 165.451 0.0 0.0 0.0 0.0 0.0 0.0 5.6843e-16 34.0
151.01075 -6.4771934 40.706 111.559 0.0 0.0 0.0 0.0 0.0 0.0 4.2555e-16 21.39
151.01075 -6.4764717 66.094 162.166 0.0 0.0 0.0 0.0 0.003921 0.0 4.5188e-16 106.15
151.01075 -6.47575 67.74 193.263 0.0 6.797 0.0 0.0 0.0 0.004025 8.7259e-16 157.28
151.01075 -6.4750284 63.458 195.429 0.0 0.0 0.0 0.0 0.002424 0.0 9.9716e-16 211.44
151.01075 -6.4743067 32.834 89.46 0.0 0.0 0.0 0.0 0.0 0.0 8.92e-16 104.19
151.01075 -6.473585 29.979 95.561 0.0 0.0 0.0 0.0 0.0 0.0 1.25328e-15 91.18
151.01075 -6.4728633 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.9121e-16 26.4
151.01075 -6.4721416 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.4218e-16 2.24
