# distance(pc) r21 co21(Jy/b.km/s) co21snr co21(Jy/b.km/s) co10snr peak(Jy/b) disp(km/s) w1(Jy/b) w2(Jy/b) w3(Jy/b), r21mask
7448 0 0 0 0 0 0 0 0 0 0 0
7365 0 0 0 0 0 0 0 0 0 0 0
7283 0 0 0 0 0 0 0 0 0 0 0
7202 0 0 0 0 0 0 0 0 0 0 0
7123 0 0 0 0 0 0 0 0 0 0 0
7046 0 0 0 0 0 0 0 0 0 0 0
6970 0 0 0 0 0 0 0 0 0 0 0
6896 0 0 0 0 0 0 0 0 0 0 0
6824 0 0 0 0 0 0 0 0 0 0 0
6754 0 0 0 0 0 0 0 0 0 0 0
6685 0 0 0 0 0 0 0 0 0 0 0
6619 0 0 0 0 0 0 0 0 0 0 0
6555 0 0 0 0 0 0 0 0 0 0 0
6492 0 0 0 0 0 0 0 0 0 0 0
6432 0 3 7 0 0 0 4 0 0 0 0
6374 0 5 9 0 0 0 6 0 0 0 0
6319 0 5 9 0 0 0 5 0 0 0 0
6266 0 4 8 0 0 0 5 0 0 0 0
6215 0 3 6 0 0 0 5 0 0 0 0
6167 0 2 4 0 0 0 4 0 0 0 0
6121 0 1 3 0 0 0 2 0 0 0 0
6078 0 0 2 0 0 0 2 0 0 0 0
6037 0 0 2 0 0 0 2 0 0 0 0
5999 0 0 0 0 0 0 0 0 0 0 0
5964 0 0 0 0 0 0 0 0 0 0 0
5931 0 0 0 0 0 0 0 0 0 0 0
5902 0 0 0 0 0 0 0 0 0 0 0
5875 0 0 0 0 0 0 0 0 0 0 0
5852 0 0 0 0 0 0 0 0 0 0 0
5831 0 0 0 0 0 0 0 0 0 0 0
5813 0 0 0 0 0 0 0 0 0 0 0
5798 0 1 3 0 0 0 2 0 0 0 0
5786 0 1 3 0 0 0 2 0 0 0 0
5778 0 0 2 0 0 0 2 0 0 0 0
5772 0 0 2 0 0 0 2 0 0 0 0
5769 0 1 3 0 0 0 2 0 0 0 0
5770 0 1 3 0 0 0 2 0 0 0 0
5774 0 0 0 0 0 0 0 0 0 0 0
5780 0 0 0 0 0 0 0 0 0 0 0
5790 0 0 0 0 0 0 0 0 0 0 0
5803 0 0 0 0 0 0 0 0 0 0 0
5819 0 0 0 0 0 0 0 0 0 0 0
5837 0 0 0 0 0 0 0 0 0 0 0
5859 0 0 0 0 0 0 0 0 0 0 0
5884 0 0 0 0 0 0 0 0 0 0 0
5912 0 0 0 0 0 0 0 0 0 0 0
5942 0 0 0 0 0 0 0 0 0 0 0
5975 0 0 0 0 0 0 0 0 0 0 0
6011 0 0 0 0 0 0 0 0 0 0 0
6050 0 0 0 0 0 0 0 0 0 0 0
6092 0 0 0 0 0 0 0 0 0 0 0
6136 0 0 0 0 0 0 0 0 0 0 0
6183 0 0 0 0 0 0 0 0 0 0 0
6232 0 0 0 0 0 0 0 0 0 0 0
6283 0 0 0 0 0 0 0 0 0 0 0
6337 0 0 0 0 0 0 0 0 0 0 0
6394 0 0 0 0 0 0 0 0 0 0 0
